Part,Type,Quantity,Unit Price,Price,Link,,,,,,
Stepper Motor,Electrical Component,1,$14.00,$14.00,https://www.adafruit.com/product/324?gQT=1,,,,,, 
Stepper Driver,Electrical Component,1,$9.95,$9.95,"https://www.aliexpress.us/item/3256805909921734.html?algo_pvid=3b3234ef-ef97-4913-b172-2528e670b9d6&algo_exp_id=3b3234ef-ef97-4913-b172-2528e670b9d6-2&pdp_ext_f=%7B%22order%22:%2272%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!2.06!1.86!!!14.77!13.34!@2101efeb17484582872244627e2c81!12000035721699089!sea!US!0!ABX&curPageLogUid=YpRAl16nuXKR&utparam-url=scene:search%7Cquery_from:",,,,,,
DC Motor,Electrical Component,3,$22.45,$67.35,https://www.robotshop.com/products/12v-pololu-1501-micro-metal-gearmotor?variant=42360992432289&_gsid=5rwhedQPq9Nc,,,,,,
DC Motor Driver,Electrical Component,3,$13.90,$41.70,https://www.cytron.io/p-10amp-5v-30v-dc-motor-driver,,,,,,
ESP32,Electrical Component,1,$4.31,$4.31,"https://www.aliexpress.us/item/3256805517875317.html?algo_pvid=7b80dba6-3761-4b46-bdf6-2fb3171f091c&algo_exp_id=7b80dba6-3761-4b46-bdf6-2fb3171f091c-13&pdp_ext_f=%7B%22order%22:%227303%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!4.51!4.31!!!32.27!30.84!@2103241117484094732106915eeda0!12000034061352780!sea!US!0!ABX&curPageLogUid=zwmBqNbXMDSC&utparam-url=scene:search%7Cquery_from:",,,,,,
3S LiPo Battery,Electrical Component,1,$12.89,$12.89,"https://www.aliexpress.us/item/3256807696422912.html?algo_pvid=48460c08-dbdd-406f-9b03-0904f210ffe9&algo_exp_id=48460c08-dbdd-406f-9b03-0904f210ffe9-0&pdp_ext_f=%7B%22order%22:%22136%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!40.94!12.89!!!293.07!92.27!@2103245417484092139102339e1d53!12000042699722367!sea!US!0!ABX&curPageLogUid=JW5ig0ORTWli&utparam-url=scene:search%7Cquery_from:",,,,,,
LiPo Battery Charger,Electrical Component,1,$5.28,$5.28,"https://www.aliexpress.us/item/3256807365682967.html?algo_pvid=76d8481a-a24b-4a7f-a4a6-96480b100129&algo_exp_id=76d8481a-a24b-4a7f-a4a6-96480b100129-5&pdp_ext_f=%7B%22order%22:%22349%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!16.61!5.28!!!118.88!37.80!@2103205117484092580977568ee726!12000041266596793!sea!US!0!ABX&curPageLogUid=vkM24HN489cV&utparam-url=scene:search%7Cquery_from:",,,,,,
12V to 5V Buck Convertor,Electrical Component,1,$7.42,$7.42,"https://www.aliexpress.us/item/3256808570929306.html?algo_pvid=81aa5cde-8eb8-4a37-a8be-a47602049d60&algo_exp_id=81aa5cde-8eb8-4a37-a8be-a47602049d60-1&pdp_ext_f=%7B%22order%22:%226%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!9.65!7.42!!!69.05!53.12!@210312d517484093463847314eea22!12000046539441886!sea!US!0!ABX&curPageLogUid=MS0fTvr8tzd4&utparam-url=scene:search%7Cquery_from:",,,,Total Price,$290.31,
PS3 Controller,Electrical Component,1,$5.75,$5.75,"https://www.aliexpress.us/item/2251832610701516.html?algo_pvid=e542d8e1-d477-44d8-8eb4-2cdce0d05726&algo_exp_id=e542d8e1-d477-44d8-8eb4-2cdce0d05726-5&pdp_ext_f=%7B%22order%22:%22784%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!5.95!5.75!!!5.95!5.75!@210337bc17484933903644862eab6f!12000016581883279!sea!US!0!ABX&curPageLogUid=rVSz0vljXopM&utparam-url=scene:search%7Cquery_from:",,,,,,
16 AWG Wire (Red + Black) (5m),Electrical Component,1,$5.90,$5.90,"https://www.aliexpress.us/item/3256807170658268.html?algo_pvid=d7856288-a74e-446c-ace1-528bcf31e2c3&algo_exp_id=d7856288-a74e-446c-ace1-528bcf31e2c3-4&pdp_ext_f=%7B%22order%22:%229028%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!6.94!3.34!!!49.79!23.95!@2101c80217488348509265817edbcd!12000040447817271!sea!US!0!ABX&curPageLogUid=BDGMljggu2TK&utparam-url=scene:search%7Cquery_from:",,,,,,
